Date,Price
Sat Dec 19 00:10:00 UTC 2020,23080.5
Sat Dec 19 00:20:00 UTC 2020,23070.0
Sat Dec 19 00:30:00 UTC 2020,23074.5
Sat Dec 19 00:40:00 UTC 2020,23056.0
Sat Dec 19 00:50:00 UTC 2020,23014.5
Sat Dec 19 01:00:00 UTC 2020,23002.0
Sat Dec 19 01:10:00 UTC 2020,23073.0
Sat Dec 19 01:20:00 UTC 2020,23061.5
Sat Dec 19 01:30:00 UTC 2020,22985.5
Sat Dec 19 01:40:00 UTC 2020,23010.0
Sat Dec 19 01:50:00 UTC 2020,23039.0
Sat Dec 19 02:00:00 UTC 2020,23082.5
Sat Dec 19 02:10:00 UTC 2020,23114.5
Sat Dec 19 02:20:00 UTC 2020,23079.0
Sat Dec 19 02:30:00 UTC 2020,23100.0
Sat Dec 19 02:40:00 UTC 2020,23140.5
Sat Dec 19 02:50:00 UTC 2020,23214.5
Sat Dec 19 03:00:00 UTC 2020,23259.0
Sat Dec 19 03:10:00 UTC 2020,23203.5
Sat Dec 19 03:20:00 UTC 2020,23209.5
Sat Dec 19 03:30:00 UTC 2020,23212.5
Sat Dec 19 03:40:00 UTC 2020,23181.5
Sat Dec 19 03:50:00 UTC 2020,23172.5
Sat Dec 19 04:00:00 UTC 2020,23152.5
Sat Dec 19 04:10:00 UTC 2020,23107.5
Sat Dec 19 04:20:00 UTC 2020,23157.0
Sat Dec 19 04:30:00 UTC 2020,23162.5
Sat Dec 19 04:40:00 UTC 2020,23093.0
Sat Dec 19 04:50:00 UTC 2020,23104.0
Sat Dec 19 05:00:00 UTC 2020,23088.5
Sat Dec 19 05:10:00 UTC 2020,23106.0
Sat Dec 19 05:20:00 UTC 2020,23074.0
Sat Dec 19 05:30:00 UTC 2020,23032.0
Sat Dec 19 05:40:00 UTC 2020,23017.5
Sat Dec 19 05:50:00 UTC 2020,23014.5
Sat Dec 19 06:00:00 UTC 2020,23000.0
Sat Dec 19 06:10:00 UTC 2020,23014.5
Sat Dec 19 06:20:00 UTC 2020,23014.0
Sat Dec 19 06:30:00 UTC 2020,22942.5
Sat Dec 19 06:40:00 UTC 2020,22973.5
Sat Dec 19 06:50:00 UTC 2020,22984.0
Sat Dec 19 07:00:00 UTC 2020,22891.0
Sat Dec 19 07:10:00 UTC 2020,22948.5
Sat Dec 19 07:20:00 UTC 2020,22979.0
Sat Dec 19 07:30:00 UTC 2020,23071.5
Sat Dec 19 07:40:00 UTC 2020,23023.5
Sat Dec 19 07:50:00 UTC 2020,22996.0
Sat Dec 19 08:00:00 UTC 2020,22882.5
Sat Dec 19 08:10:00 UTC 2020,22930.0
Sat Dec 19 08:20:00 UTC 2020,22885.5
Sat Dec 19 08:30:00 UTC 2020,22919.5
Sat Dec 19 08:40:00 UTC 2020,22958.5
Sat Dec 19 08:50:00 UTC 2020,22929.5
Sat Dec 19 09:00:00 UTC 2020,23035.5
Sat Dec 19 09:10:00 UTC 2020,23001.0
Sat Dec 19 09:20:00 UTC 2020,23033.5
Sat Dec 19 09:30:00 UTC 2020,23039.0
Sat Dec 19 09:40:00 UTC 2020,23032.5
Sat Dec 19 09:50:00 UTC 2020,23030.5
Sat Dec 19 10:00:00 UTC 2020,23013.0
Sat Dec 19 10:10:00 UTC 2020,23097.5
Sat Dec 19 10:20:00 UTC 2020,23077.0
Sat Dec 19 10:30:00 UTC 2020,23051.0
Sat Dec 19 10:40:00 UTC 2020,23057.5
Sat Dec 19 10:50:00 UTC 2020,23045.0
Sat Dec 19 11:00:00 UTC 2020,23064.0
Sat Dec 19 11:10:00 UTC 2020,23098.0
Sat Dec 19 11:20:00 UTC 2020,23023.5
Sat Dec 19 11:30:00 UTC 2020,23018.0
Sat Dec 19 11:40:00 UTC 2020,22997.0
Sat Dec 19 11:50:00 UTC 2020,22951.0
Sat Dec 19 12:00:00 UTC 2020,22923.0
Sat Dec 19 12:10:00 UTC 2020,22977.5
Sat Dec 19 12:20:00 UTC 2020,23011.5
Sat Dec 19 12:30:00 UTC 2020,23000.5
Sat Dec 19 12:40:00 UTC 2020,23130.0
Sat Dec 19 12:50:00 UTC 2020,23134.5
Sat Dec 19 13:00:00 UTC 2020,23094.5
Sat Dec 19 13:10:00 UTC 2020,23065.0
Sat Dec 19 13:20:00 UTC 2020,23126.0
Sat Dec 19 13:30:00 UTC 2020,23164.0
Sat Dec 19 13:40:00 UTC 2020,23135.0
Sat Dec 19 13:50:00 UTC 2020,23149.5
Sat Dec 19 14:00:00 UTC 2020,23236.5
Sat Dec 19 14:10:00 UTC 2020,23508.5
Sat Dec 19 14:20:00 UTC 2020,23560.5
Sat Dec 19 14:30:00 UTC 2020,23214.5
Sat Dec 19 14:40:00 UTC 2020,23368.0
Sat Dec 19 14:50:00 UTC 2020,23393.0
Sat Dec 19 15:00:00 UTC 2020,23344.0
Sat Dec 19 15:10:00 UTC 2020,23557.5
Sat Dec 19 15:20:00 UTC 2020,23667.5
Sat Dec 19 15:30:00 UTC 2020,23664.5
Sat Dec 19 15:40:00 UTC 2020,23496.0
Sat Dec 19 15:50:00 UTC 2020,23507.5
Sat Dec 19 16:00:00 UTC 2020,23611.0
Sat Dec 19 16:10:00 UTC 2020,23722.0
Sat Dec 19 16:20:00 UTC 2020,24115.0
Sat Dec 19 16:30:00 UTC 2020,23973.5
Sat Dec 19 16:40:00 UTC 2020,23992.5
Sat Dec 19 16:50:00 UTC 2020,24093.0
Sat Dec 19 17:00:00 UTC 2020,24029.0
Sat Dec 19 17:10:00 UTC 2020,24129.5
Sat Dec 19 17:20:00 UTC 2020,23984.5
Sat Dec 19 17:30:00 UTC 2020,23984.5
Sat Dec 19 17:40:00 UTC 2020,23932.5
Sat Dec 19 17:50:00 UTC 2020,23944.5
Sat Dec 19 18:00:00 UTC 2020,23952.0
Sat Dec 19 18:10:00 UTC 2020,23910.5
Sat Dec 19 18:20:00 UTC 2020,23723.5
Sat Dec 19 18:30:00 UTC 2020,23840.0
Sat Dec 19 18:40:00 UTC 2020,23855.0
Sat Dec 19 18:50:00 UTC 2020,23863.5
Sat Dec 19 19:00:00 UTC 2020,23874.0
Sat Dec 19 19:10:00 UTC 2020,23864.0
Sat Dec 19 19:20:00 UTC 2020,23849.0
Sat Dec 19 19:30:00 UTC 2020,23791.0
Sat Dec 19 19:40:00 UTC 2020,23749.5
Sat Dec 19 19:50:00 UTC 2020,23848.5
Sat Dec 19 20:00:00 UTC 2020,23861.0
Sat Dec 19 20:10:00 UTC 2020,23942.0
Sat Dec 19 20:20:00 UTC 2020,23874.0
Sat Dec 19 20:30:00 UTC 2020,23867.0
Sat Dec 19 20:40:00 UTC 2020,23947.5
Sat Dec 19 20:50:00 UTC 2020,23940.5
Sat Dec 19 21:00:00 UTC 2020,23965.5
Sat Dec 19 21:10:00 UTC 2020,23879.0
Sat Dec 19 21:20:00 UTC 2020,23907.0
Sat Dec 19 21:30:00 UTC 2020,24076.0
Sat Dec 19 21:40:00 UTC 2020,24044.5
Sat Dec 19 21:50:00 UTC 2020,24026.5
Sat Dec 19 22:00:00 UTC 2020,24049.0
Sat Dec 19 22:10:00 UTC 2020,23994.0
Sat Dec 19 22:20:00 UTC 2020,23964.0
Sat Dec 19 22:30:00 UTC 2020,23910.5
Sat Dec 19 22:40:00 UTC 2020,23900.0
Sat Dec 19 22:50:00 UTC 2020,23984.0
Sat Dec 19 23:00:00 UTC 2020,23963.5
Sat Dec 19 23:10:00 UTC 2020,23874.0
Sat Dec 19 23:20:00 UTC 2020,23879.5
Sat Dec 19 23:30:00 UTC 2020,23826.5
Sat Dec 19 23:40:00 UTC 2020,23874.5
Sat Dec 19 23:50:00 UTC 2020,23886.5
Sun Dec 20 00:00:00 UTC 2020,23871.0
Sun Dec 20 00:10:00 UTC 2020,23760.5
Sun Dec 20 00:20:00 UTC 2020,23670.0
Sun Dec 20 00:30:00 UTC 2020,23410.5
Sun Dec 20 00:40:00 UTC 2020,23416.5
Sun Dec 20 00:50:00 UTC 2020,23467.5
Sun Dec 20 01:00:00 UTC 2020,23527.0
Sun Dec 20 01:10:00 UTC 2020,23489.0
Sun Dec 20 01:20:00 UTC 2020,23468.5
Sun Dec 20 01:30:00 UTC 2020,23520.5
Sun Dec 20 01:40:00 UTC 2020,23534.0
Sun Dec 20 01:50:00 UTC 2020,23557.5
Sun Dec 20 02:00:00 UTC 2020,23531.0
Sun Dec 20 02:10:00 UTC 2020,23482.5
Sun Dec 20 02:20:00 UTC 2020,23476.0
Sun Dec 20 02:30:00 UTC 2020,23496.0
Sun Dec 20 02:40:00 UTC 2020,23428.0
Sun Dec 20 02:50:00 UTC 2020,23463.5
Sun Dec 20 03:00:00 UTC 2020,23469.5
Sun Dec 20 03:10:00 UTC 2020,23343.5
Sun Dec 20 03:20:00 UTC 2020,23353.0
Sun Dec 20 03:30:00 UTC 2020,23392.5
Sun Dec 20 03:40:00 UTC 2020,23359.5
Sun Dec 20 03:50:00 UTC 2020,23355.0
Sun Dec 20 04:00:00 UTC 2020,23392.0
Sun Dec 20 04:10:00 UTC 2020,23389.0
Sun Dec 20 04:20:00 UTC 2020,23231.0
Sun Dec 20 04:30:00 UTC 2020,23200.0
Sun Dec 20 04:40:00 UTC 2020,23299.5
Sun Dec 20 04:50:00 UTC 2020,23368.0
Sun Dec 20 05:00:00 UTC 2020,23463.0
Sun Dec 20 05:10:00 UTC 2020,23488.0
Sun Dec 20 05:20:00 UTC 2020,23480.0
Sun Dec 20 05:30:00 UTC 2020,23477.0
Sun Dec 20 05:40:00 UTC 2020,23505.5
Sun Dec 20 05:50:00 UTC 2020,23593.0
Sun Dec 20 06:00:00 UTC 2020,23512.5
Sun Dec 20 06:10:00 UTC 2020,23528.5
Sun Dec 20 06:20:00 UTC 2020,23565.0
Sun Dec 20 06:30:00 UTC 2020,23582.5
Sun Dec 20 06:40:00 UTC 2020,23625.0
Sun Dec 20 06:50:00 UTC 2020,23568.5
Sun Dec 20 07:00:00 UTC 2020,23537.5
Sun Dec 20 07:10:00 UTC 2020,23574.0
Sun Dec 20 07:20:00 UTC 2020,23589.5
Sun Dec 20 07:30:00 UTC 2020,23519.5
Sun Dec 20 07:40:00 UTC 2020,23510.0
Sun Dec 20 07:50:00 UTC 2020,23561.5
Sun Dec 20 08:00:00 UTC 2020,23665.0
Sun Dec 20 08:10:00 UTC 2020,23608.0
Sun Dec 20 08:20:00 UTC 2020,23733.5
Sun Dec 20 08:30:00 UTC 2020,23789.5
Sun Dec 20 08:40:00 UTC 2020,23745.0
Sun Dec 20 08:50:00 UTC 2020,23790.0
